County,State,Diagnosed Diabetes-2021-Percentage,%American Indian & Alaska Native Non-Hispanic-2022-Percentage
Northeastern Connecticut Planning Region,Connecticut,No Data,No Data
Northwest Hills Planning Region,Connecticut,No Data,No Data
Kalawao County,Hawaii,8.9,No Data
Wrangell-Petersburg Census Area,Alaska,No Data,No Data
Lower Connecticut River Valley Planning Region,Connecticut,No Data,No Data
Naugatuck Valley Planning Region,Connecticut,No Data,No Data
Capitol Planning Region,Connecticut,No Data,No Data
Greater Bridgeport Planning Region,Connecticut,No Data,No Data
Prince of Wales - Outer Ketchikan,Alaska,No Data,No Data
Valdez-Cordova Census Area,Alaska,No Data,No Data
Skagway-Hoonah-Angoon,Alaska,No Data,No Data
Wade Hampton Census Area,Alaska,No Data,No Data
Western Connecticut Planning Region,Connecticut,No Data,No Data
South Central Connecticut Planning Region,Connecticut,No Data,No Data
Southeastern Connecticut Planning Region,Connecticut,No Data,No Data
Walsh County,North Dakota,8.8,2.39
Morton County,Kansas,7.9,2.39
Curry County,New Mexico,9.6,2.4
St. Louis County,Minnesota,8.2,2.4
Gooding County,Idaho,7,2.4
Labette County,Kansas,11.1,2.41
Minidoka County,Idaho,8.8,2.42
Baca County,Colorado,7.6,2.42
Kinney County,Texas,7.2,2.43
Adams County,Colorado,7.6,2.43
Yuma County,Arizona,11.6,2.44
Douglas County,South Dakota,7.3,2.45
Morrow County,Oregon,8.3,2.45
Stanton County,Kansas,6.9,2.45
Culberson County,Texas,7.1,2.46
Douglas County,Washington,8.5,2.47
Grant County,New Mexico,7.8,2.47
Lincoln County,Nevada,8.7,2.48
Iron County,Utah,8.7,2.49
Titus County,Texas,7.5,2.49
Greene County,North Carolina,8.7,2.49
Dawson County,Montana,9.5,2.5
Burt County,Nebraska,7.6,2.5
Lipscomb County,Texas,7.3,2.52
Morgan County,Colorado,7.6,2.52
Kimball County,Nebraska,8.6,2.53
Sheridan County,Montana,8.5,2.53
Norman County,Minnesota,7.9,2.56
Dallam County,Texas,7.2,2.57
Doña Ana County,New Mexico,9.4,2.57
Perkins County,South Dakota,7.9,2.57
Clearwater County,Idaho,9.3,2.58
Klickitat County,Washington,6.7,2.59
Imperial County,California,8.6,2.59
Lake County,Oregon,7.2,2.6
Sherman County,Oregon,7.3,2.61
Monterey County,California,8.4,2.61
Allen Parish,Louisiana,9.2,2.61
Sierra County,California,7.3,2.61
Sebastian County,Arkansas,10.4,2.61
Roberts County,Texas,7,2.62
Harding County,South Dakota,6.9,2.63
Pembina County,North Dakota,7.8,2.63
Merced County,California,9.7,2.63
Newton County,Missouri,9.5,2.64
Eddy County,New Mexico,10,2.64
Richland County,Montana,7.9,2.64
Curry County,Oregon,7.8,2.66
Wheatland County,Montana,7.2,2.66
Skagit County,Washington,6.7,2.67
Grant County,Washington,8.9,2.67
Edwards County,Kansas,8.3,2.67
Douglas County,Kansas,7.5,2.67
Real County,Texas,7.2,2.68
Hall County,Nebraska,8.9,2.68
Koochiching County,Minnesota,8.3,2.68
Pacific County,Washington,9.7,2.69
Butte County,California,7.4,2.69
Polk County,Oregon,8.1,2.71
Missoula County,Montana,6.6,2.71
Hubbard County,Minnesota,7.3,2.71
Crawford County,Arkansas,10.8,2.73
Custer County,Montana,8.2,2.74
Nelson County,North Dakota,9.3,2.74
Luna County,New Mexico,9.5,2.76
Scott County,Arkansas,8.9,2.76
Quay County,New Mexico,8.4,2.77
Butte County,South Dakota,6.5,2.78
Chaves County,New Mexico,10.2,2.78
Delta County,Michigan,9.7,2.79
Bowman County,North Dakota,6.7,2.8
Marion County,Oregon,10.7,2.8
Kern County,California,10.7,2.8
Motley County,Texas,7.3,2.81
Ward County,North Dakota,9.1,2.81
Idaho County,Idaho,9.5,2.81
Tulare County,California,10.5,2.82
Delta County,Texas,7.4,2.83
De Baca County,New Mexico,7.6,2.84
Mercer County,North Dakota,8.7,2.84
Harding County,New Mexico,7.1,2.87
Colusa County,California,7.2,2.87
Aurora County,South Dakota,8.1,2.9
Treasure County,Montana,7.7,2.9
Grant County,Kansas,6.7,2.9
Wheeler County,Oregon,7,2.91
Maricopa County,Arizona,8.6,2.91
Hamilton County,Kansas,8.2,2.92
Carson City,Nevada,8.6,2.93
Lake County,Colorado,7.2,2.93
Yuba County,California,7.9,2.94
Dickens County,Texas,7.3,2.95
Haakon County,South Dakota,7.5,2.96
Coos County,Oregon,8.4,2.96
Coke County,Texas,7.2,2.97
Garfield County,Utah,6.5,2.99
Gunnison County,Colorado,7.1,2.99
Minnehaha County,South Dakota,7.9,3
Jackson County,Colorado,7.3,3
Mono County,California,7.4,3.01
Mohave County,Arizona,10,3.01
Oliver County,North Dakota,7.1,3.02
Mcdonald County,Missouri,8.6,3.05
Lafourche Parish,Louisiana,11.2,3.05
Grand Forks County,North Dakota,9.3,3.06
Upton County,Texas,7.3,3.08
Yankton County,South Dakota,8.3,3.08
Bronx County,New York,12.1,3.08
Jackson County,Oklahoma,9,3.1
Dolores County,Colorado,7.1,3.1
Deer Lodge County,Montana,8.9,3.11
Menominee County,Michigan,7.2,3.13
San Benito County,California,8.7,3.16
Leelanau County,Michigan,7.1,3.18
Dillon County,South Carolina,11.9,3.19
Richland County,North Dakota,8.1,3.19
Ellis County,Oklahoma,8,3.2
Fresno County,California,8.9,3.21
Plumas County,California,7.5,3.22
Woodbury County,Iowa,10.2,3.23
Pine County,Minnesota,8.8,3.23
Gogebic County,Michigan,7.6,3.23
Shasta County,California,8.1,3.24
Cheboygan County,Michigan,7.2,3.26
Kings County,California,9,3.27
Codington County,South Dakota,8.6,3.29
San Miguel County,New Mexico,8.3,3.29
Richmond County,North Carolina,11,3.3
Whatcom County,Washington,6.3,3.32
Daniels County,Montana,7.7,3.32
Hettinger County,North Dakota,7.9,3.33
Meade County,South Dakota,7,3.34
Sierra County,New Mexico,7.4,3.34
Davison County,South Dakota,8,3.36
Harper County,Oklahoma,7.5,3.36
Beaver County,Oklahoma,6.7,3.37
Colfax County,New Mexico,9.7,3.4
Pueblo County,Colorado,10.4,3.4
Lyon County,Nevada,8.9,3.41
Tehama County,California,6.9,3.41
Bladen County,North Carolina,8.9,3.42
Richardson County,Nebraska,9.2,3.44
Bailey County,Texas,7.2,3.45
Garfield County,Oklahoma,8.7,3.45
Glenn County,California,7.4,3.46
Sully County,South Dakota,7,3.47
Brown County,Wisconsin,8,3.5
Echols County,Georgia,7.4,3.5
Woods County,Oklahoma,8.2,3.52
Edwards County,Texas,7.3,3.52
Union County,New Mexico,7.1,3.52
Crockett County,Texas,7.1,3.53
Custer County,South Dakota,7.2,3.54
Harmon County,Oklahoma,7.3,3.54
Grant County,Oklahoma,8.6,3.59
Guadalupe County,New Mexico,8.3,3.6
Potter County,South Dakota,7.3,3.65
Montgomery County,Kansas,10.3,3.65
Wasco County,Oregon,8.3,3.66
Major County,Oklahoma,7.3,3.67
Itasca County,Minnesota,9.5,3.67
Bent County,Colorado,7.3,3.67
Collingsworth County,Texas,7.3,3.7
Mariposa County,California,7.3,3.7
Crowley County,Colorado,7.6,3.72
Pend Oreille County,Washington,7.2,3.74
Woodward County,Oklahoma,9.7,3.74
Emmet County,Michigan,6.8,3.74
Rio Grande County,Colorado,7.5,3.75
Brown County,South Dakota,9.5,3.76
Colfax County,Nebraska,8.6,3.76
Saguache County,Colorado,7.2,3.76
Escambia County,Alabama,10.5,3.78
Beckham County,Oklahoma,8,3.79
Columbus County,North Carolina,9.8,3.81
Archuleta County,Colorado,7.3,3.81
Cattaraugus County,New York,10.7,3.83
Logan County,Oklahoma,8.3,3.84
Sanders County,Montana,7.8,3.85
Mora County,New Mexico,7.4,3.86
Bannock County,Idaho,8.6,3.87
Yellow Medicine County,Minnesota,7.7,3.88
Owyhee County,Idaho,8.4,3.89
Power County,Idaho,6.9,3.89
Bottineau County,North Dakota,8.2,3.91
Sampson County,North Carolina,13.5,3.91
Eureka County,Nevada,7.3,3.92
Sevier County,Arkansas,10,3.92
Isabella County,Michigan,8,3.93
Kemper County,Mississippi,10.5,3.96
Clark County,Idaho,7.2,3.97
Halifax County,North Carolina,11.3,4
Clay County,South Dakota,7.2,4.01
Las Animas County,Colorado,7.2,4.03
Cochran County,Texas,7.1,4.04
Lincoln County,Oregon,7.7,4.13
Scotts Bluff County,Nebraska,10.6,4.14
Greer County,Oklahoma,8,4.16
Otero County,Colorado,7.2,4.19
Kingfisher County,Oklahoma,8.1,4.28
Umatilla County,Oregon,9.7,4.3
Terrell County,Texas,7.4,4.33
Torrance County,New Mexico,7.8,4.34
Santa Fe County,New Mexico,6.1,4.35
Pima County,Arizona,7.7,4.35
Lassen County,California,7.7,4.36
Williams County,North Dakota,7.7,4.41
Catron County,New Mexico,7.5,4.42
Glades County,Florida,No Data,4.45
Morton County,North Dakota,9.1,4.47
Humboldt County,Nevada,7.8,4.5
Alfalfa County,Oklahoma,7.4,4.52
Dakota County,Nebraska,10.4,4.52
Madera County,California,8.5,4.53
Burnett County,Wisconsin,7,4.56
Lincoln County,New Mexico,6.6,4.57
Cherokee County,Kansas,9.6,4.62
Conejos County,Colorado,7.7,4.64
Dawes County,Nebraska,7.6,4.66
Burleigh County,North Dakota,7.6,4.68
Lake County,California,7.8,4.68
Mason County,Washington,8.5,4.7
Oklahoma County,Oklahoma,11.7,4.75
Alger County,Michigan,7.3,4.75
Greenlee County,Arizona,6.9,4.76
Washita County,Oklahoma,9.9,4.81
Harney County,Oregon,7.6,4.87
Duchesne County,Utah,9.3,4.89
Cascade County,Montana,8.6,4.89
Slope County,North Dakota,7.2,4.91
Pershing County,Nevada,7.6,4.92
Marlboro County,South Carolina,12.2,4.97
Grand County,Utah,6.3,4.99
Pierce County,North Dakota,7.7,5
Klamath County,Oregon,7.5,5.01
Washington County,Maine,9.4,5.08
Canadian County,Oklahoma,9.1,5.11
Trinity County,California,7.3,5.13
Siskiyou County,California,7.5,5.13
Box Butte County,Nebraska,7.5,5.17
Yellowstone County,Montana,8.2,5.19
Redwood County,Minnesota,7.7,5.27
White Pine County,Nevada,8.6,5.27
Churchill County,Nevada,10.7,5.36
Chautauqua County,Kansas,8.1,5.39
Lander County,Nevada,7.6,5.41
Towner County,North Dakota,8.1,5.43
Cleveland County,Oklahoma,9.3,5.44
Huerfano County,Colorado,7.9,5.44
Stevens County,Washington,7.5,5.47
Eddy County,North Dakota,7.8,5.49
Tillman County,Oklahoma,7.5,5.5
Modoc County,California,7.2,5.51
Grays Harbor County,Washington,10.5,5.58
Payne County,Oklahoma,7.8,5.61
Newton County,Mississippi,11.5,5.64
Warren County,North Carolina,9.2,5.73
Carlton County,Minnesota,10.1,5.75
Alamosa County,Colorado,8.8,5.75
Powell County,Montana,7.9,5.76
Lawrence County,Alabama,8.3,5.77
Clallam County,Washington,7.4,5.78
Mille Lacs County,Minnesota,8.1,5.89
Nez Perce County,Idaho,10.5,5.96
Costilla County,Colorado,7.8,6.11
Stephens County,Oklahoma,10.5,6.17
Skagway Municipality,Alaska,7.8,6.2
Pinal County,Arizona,10.3,6.21
Terrebonne Parish,Louisiana,13.2,6.23
Adams County,Washington,8.7,6.26
Traverse County,Minnesota,7.7,6.29
Lewis County,Idaho,7.9,6.4
Humboldt County,California,9,6.42
Fall River County,South Dakota,8.5,6.45
Elko County,Nevada,8.2,6.47
Toole County,Montana,7.5,6.51
Denali Borough,Alaska,6.5,6.56
Grady County,Oklahoma,9.1,6.6
Mendocino County,California,7.5,6.61
Jackson County,Wisconsin,8.2,6.7
Charles City County,Virginia,9.1,6.72
Bernalillo County,New Mexico,8.7,6.74
Yakima County,Washington,10.2,6.89
Luce County,Michigan,7.9,6.89
Valencia County,New Mexico,9.8,6.89
Comanche County,Oklahoma,12.8,6.94
Bingham County,Idaho,8.9,6.94
Matanuska-Susitna Borough,Alaska,7.5,7.01
Leake County,Mississippi,9.4,7.03
Esmeralda County,Nevada,7.5,7.12
Tulsa County,Oklahoma,10.2,7.14
Stanley County,South Dakota,7.9,7.24
Jones County,South Dakota,7.4,7.24
Mcclain County,Oklahoma,8.8,7.31
Dewey County,Oklahoma,7.7,7.36
Lincoln County,Oklahoma,8.7,7.38
Becker County,Minnesota,8.4,7.53
Uintah County,Utah,9.3,7.54
Jefferson County,Oklahoma,7.8,7.57
La Plata County,Colorado,5.5,7.66
Mclean County,North Dakota,8.8,7.7
Washington County,Alabama,10.4,7.7
Gregory County,South Dakota,7.1,7.95
Cook County,Minnesota,8.2,7.95
Love County,Oklahoma,8.4,7.97
Franklin County,New York,12.5,7.97
Bon Homme County,South Dakota,7.5,8
Taos County,New Mexico,7.2,8
Benewah County,Idaho,8,8.01
Graham County,North Carolina,8,8.13
Kiowa County,Oklahoma,8.5,8.2
Roger Mills County,Oklahoma,7.7,8.22
Otero County,New Mexico,9.7,8.25
Cherry County,Nebraska,7.1,8.25
Fairbanks North Star Borough,Alaska,7.7,8.34
Kenai Peninsula Borough,Alaska,7.8,8.36
Tama County,Iowa,8.4,8.43
Hoke County,North Carolina,9.9,8.5
Custer County,Oklahoma,11,8.71
Jackson County,North Carolina,9.1,8.78
Jackson County,Kansas,8.1,8.8
Shawano County,Wisconsin,8.9,8.87
Aleutians West Census Area,Alaska,11.9,9
Mckenzie County,North Dakota,8.8,9.02
Valley County,Montana,8,9.04
Brown County,Kansas,10.3,9.23
Schoolcraft County,Michigan,7.1,9.34
Day County,South Dakota,7.4,9.42
Marshall County,South Dakota,6.7,9.51
Noble County,Oklahoma,8,9.52
Anchorage Municipality,Alaska,7.2,9.54
Sabine Parish,Louisiana,8.4,9.58
Garvin County,Oklahoma,8.8,9.6
Blaine County,Oklahoma,8.8,9.69
Clearwater County,Minnesota,8.8,9.72
Bayfield County,Wisconsin,7.2,9.8
Dunn County,North Dakota,8.8,9.81
Del Norte County,California,8.1,9.91
Pennington County,South Dakota,7.4,9.99
Vilas County,Wisconsin,7.7,10.14
Phillips County,Montana,7.6,10.28
Wagoner County,Oklahoma,10.4,10.43
Carter County,Oklahoma,9.1,10.51
Haines Borough,Alaska,7.1,10.55
Knox County,Nebraska,8.9,10.71
Petersburg Borough,Alaska,6.8,10.89
Hyde County,South Dakota,6.9,10.98
Southeast Fairbanks Census Area,Alaska,7.7,11.02
Creek County,Oklahoma,10,11.03
Marshall County,Oklahoma,7.8,11.06
Cotton County,Oklahoma,7.3,11.23
Sheridan County,Nebraska,7.7,11.25
Ramsey County,North Dakota,7.8,11.39
Washington County,Oklahoma,10.2,11.46
Ashland County,Wisconsin,7.8,11.64
Cass County,Minnesota,7.8,11.73
Kay County,Oklahoma,8.7,11.76
Brule County,South Dakota,7.9,11.99
Okanogan County,Washington,8.8,12.28
Kodiak Island Borough,Alaska,8.1,12.41
Juneau City and Borough,Alaska,6.9,12.5
Hughes County,South Dakota,7,12.58
Chugach Census Area,Alaska,7.5,12.82
Graham County,Arizona,8.8,13.02
Scotland County,North Carolina,12.4,13.22
Rogers County,Oklahoma,8.7,13.48
Pawnee County,Oklahoma,7.4,13.53
Moody County,South Dakota,7.5,13.81
Inyo County,California,7.3,13.84
Aleutians East Borough,Alaska,9.9,13.92
Sandoval County,New Mexico,8.8,14.05
Montezuma County,Colorado,7.6,14.06
Baraga County,Michigan,7.6,14.17
Pottawatomie County,Oklahoma,9.9,14.2
Ketchikan Gateway Borough,Alaska,8.9,14.31
Murray County,Oklahoma,8.4,14.57
Forest County,Wisconsin,8.9,14.8
Walworth County,South Dakota,7.9,14.81
Le Flore County,Oklahoma,11.4,14.84
Osage County,Oklahoma,9.3,14.93
Socorro County,New Mexico,9.6,15.1
Bryan County,Oklahoma,11.6,15.18
Atoka County,Oklahoma,7.2,15.3
Pondera County,Montana,8,15.4
Sitka City and Borough,Alaska,8.7,15.47
Ferry County,Washington,9.5,16.02
Mackinac County,Michigan,7.5,16.19
Tripp County,South Dakota,7.1,16.23
Johnston County,Oklahoma,7.9,16.5
Chippewa County,Michigan,9.3,16.62
Pittsburg County,Oklahoma,9.6,16.68
Sawyer County,Wisconsin,7.9,16.75
Wrangell City and Borough,Alaska,9.2,16.96
Okmulgee County,Oklahoma,11,17.13
Neshoba County,Mississippi,13.4,17.32
La Paz County,Arizona,8.1,17.52
Gila County,Arizona,8,17.8
Jefferson County,Oregon,8.2,17.91
Mineral County,Nevada,8.7,17.92
Mccurtain County,Oklahoma,10.6,18.03
Chouteau County,Montana,7,18.24
Haskell County,Oklahoma,8.9,18.31
Copper River Census Area,Alaska,7.7,18.73
Pushmataha County,Oklahoma,8.3,18.96
Nowata County,Oklahoma,7.5,19.35
Mcintosh County,Oklahoma,10.9,19.36
Choctaw County,Oklahoma,9.6,19.38
Hughes County,Oklahoma,9,20.11
Seminole County,Oklahoma,9.6,20.15
Rio Arriba County,New Mexico,9.3,20.23
Muskogee County,Oklahoma,11.8,20.63
Ottawa County,Oklahoma,12.2,21.09
Pontotoc County,Oklahoma,11.5,21.26
Fremont County,Wyoming,8.8,21.54
Craig County,Oklahoma,8,21.89
Beltrami County,Minnesota,10.1,22.05
Okfuskee County,Oklahoma,8.4,22.25
Coal County,Oklahoma,8.2,22.42
Mayes County,Oklahoma,11.4,22.68
Caddo County,Oklahoma,11.1,23.29
Sequoyah County,Oklahoma,10.4,23.44
Lake County,Montana,9.1,23.67
Alpine County,California,7.5,23.7
Delaware County,Oklahoma,8.5,23.95
Hill County,Montana,9.5,24.67
Latimer County,Oklahoma,10.1,25.17
Coconino County,Arizona,7.3,27.11
Swain County,North Carolina,9.1,30.62
Mountrail County,North Dakota,9,30.62
Bristol Bay Borough,Alaska,9.6,31.1
Charles Mix County,South Dakota,7.6,31.38
Yakutat City and Borough,Alaska,8.4,35.29
Cherokee County,Oklahoma,11.4,36.77
Hoonah-Angoon Census Area,Alaska,7.2,38.17
Roberts County,South Dakota,9.1,38.38
Rosebud County,Montana,10.8,38.97
Lyman County,South Dakota,8.9,39.3
Robeson County,North Carolina,13.1,41.93
Prince of Wales-Hyder Census Area,Alaska,8.6,42.83
San Juan County,New Mexico,11.1,43.12
Mahnomen County,Minnesota,9.4,43.21
Navajo County,Arizona,10.6,43.49
Adair County,Oklahoma,10.1,45.37
Cibola County,New Mexico,13.4,45.4
San Juan County,Utah,12.3,47.07
Blaine County,Montana,11.6,51.14
North Slope Borough,Alaska,9.5,52.26
Jackson County,South Dakota,11.4,53.42
Benson County,North Dakota,10.6,54.25
Mellette County,South Dakota,9.7,55.02
Bennett County,South Dakota,13.1,58.27
Thurston County,Nebraska,13.6,58.46
Lake and Peninsula Borough,Alaska,8.4,60.68
Roosevelt County,Montana,12.1,61.26
Glacier County,Montana,13.4,64.99
Corson County,South Dakota,12.3,65.71
Big Horn County,Montana,12.2,66.73
Yukon-Koyukuk Census Area,Alaska,8.9,68.35
Ziebach County,South Dakota,14.9,68.73
Dillingham Census Area,Alaska,8.5,72.56
Apache County,Arizona,12.6,73.36
Dewey County,South Dakota,13.6,73.56
Nome Census Area,Alaska,8.2,76.25
Rolette County,North Dakota,15,77.73
Buffalo County,South Dakota,12.7,78.13
Menominee County,Wisconsin,11,79.51
Mckinley County,New Mexico,14.9,79.87
Northwest Arctic Borough,Alaska,9.6,80.41
Sioux County,North Dakota,10.8,81.08
Todd County,South Dakota,17.9,84.46
Bethel Census Area,Alaska,9.4,84.8
Oglala Lakota County,South Dakota,15.4,89.53
Kusilvak Census Area,Alaska,9.2,92.11
