County,State,Diagnosed Diabetes-2021-Percentage,%American Indian & Alaska Native Non-Hispanic-2022-Percentage
Northeastern Connecticut Planning Region,Connecticut,No Data,No Data
Northwest Hills Planning Region,Connecticut,No Data,No Data
Kalawao County,Hawaii,8.9,No Data
Wrangell-Petersburg Census Area,Alaska,No Data,No Data
Lower Connecticut River Valley Planning Region,Connecticut,No Data,No Data
Naugatuck Valley Planning Region,Connecticut,No Data,No Data
Capitol Planning Region,Connecticut,No Data,No Data
Greater Bridgeport Planning Region,Connecticut,No Data,No Data
Prince of Wales - Outer Ketchikan,Alaska,No Data,No Data
Valdez-Cordova Census Area,Alaska,No Data,No Data
Skagway-Hoonah-Angoon,Alaska,No Data,No Data
Wade Hampton Census Area,Alaska,No Data,No Data
Western Connecticut Planning Region,Connecticut,No Data,No Data
South Central Connecticut Planning Region,Connecticut,No Data,No Data
Southeastern Connecticut Planning Region,Connecticut,No Data,No Data
Wabash County,Illinois,7.2,0.29
Clark County,Kentucky,7.5,0.29
Jefferson County,Alabama,12,0.29
Pickens County,Alabama,10,0.29
Pike County,Illinois,7.5,0.29
Lincoln County,Kentucky,7.7,0.29
Morgan County,Kentucky,9.1,0.29
Story County,Iowa,8,0.29
Jackson County,West Virginia,10,0.3
Augusta County,Virginia,10.5,0.3
Fayette County,West Virginia,12,0.3
Stark County,Ohio,9.8,0.3
Monroe County,Mississippi,10.9,0.3
Knox County,Ohio,9.2,0.3
Crawford County,Ohio,8.6,0.3
Pickaway County,Ohio,9.9,0.3
Erie County,Pennsylvania,9.3,0.3
Dubuque County,Iowa,7.7,0.3
Todd County,Kentucky,7.8,0.3
Jefferson Davis County,Mississippi,10.6,0.3
Marshall County,Kentucky,8,0.3
Marion County,Kentucky,7.5,0.3
Woodford County,Kentucky,7.5,0.3
Ringgold County,Iowa,6.9,0.3
St. Louis City,Missouri,11.3,0.3
Mitchell County,Iowa,8,0.3
Posey County,Indiana,8.2,0.3
Perry County,Indiana,7.1,0.3
Franklin County,Indiana,7.8,0.3
Bremer County,Iowa,6.9,0.3
Clark County,Illinois,7,0.3
Macon County,Illinois,7.7,0.3
Tolland County,Connecticut,7.6,0.3
Madison County,Virginia,8.3,0.31
Washington County,Vermont,6.3,0.31
Addison County,Vermont,6,0.31
Radford City,Virginia,7,0.31
Upshur County,West Virginia,8.5,0.31
Perry County,Pennsylvania,8.7,0.31
Pickens County,South Carolina,8.4,0.31
