No Health Insurance-Percent; NaturalBreaks
Data downloaded on 20-August-2025
County_FIPS,County,State,Newly Diagnosed Diabetes-2019-Rate per 1000,No Health Insurance-2017-2021-Percentage
09015,Windham County,Connecticut,8.3,6.3
17145,Perry County,Illinois,11.1,6.3
18173,Warrick County,Indiana,9.6,6.3
06057,Nevada County,California,2.8,6.3
55071,Manitowoc County,Wisconsin,6.4,6.4
55017,Chippewa County,Wisconsin,5.9,6.4
50015,Lamoille County,Vermont,6.1,6.4
26007,Alpena County,Michigan,11,6.4
51750,Radford City,Virginia,6.4,6.4
42103,Pike County,Pennsylvania,5.9,6.4
26029,Charlevoix County,Michigan,5.6,6.4
39137,Putnam County,Ohio,7.8,6.4
36105,Sullivan County,New York,7.6,6.4
26081,Kent County,Michigan,8.3,6.4
34029,Ocean County,New Jersey,No Data,6.4
33013,Merrimack County,New Hampshire,7.2,6.4
24005,Baltimore County,Maryland,8,6.4
26049,Genesee County,Michigan,11.2,6.4
19159,Ringgold County,Iowa,8.5,6.4
27131,Rice County,Minnesota,5.8,6.4
19175,Union County,Iowa,13.5,6.4
17103,Lee County,Illinois,12.2,6.4
38069,Pierce County,North Dakota,3.9,6.4
19077,Guthrie County,Iowa,5.3,6.4
19093,Ida County,Iowa,4.5,6.4
21193,Perry County,Kentucky,11.2,6.4
55085,Oneida County,Wisconsin,5.3,6.5
53029,Island County,Washington,6.1,6.5
55083,Oconto County,Wisconsin,6.7,6.5
51161,Roanoke County,Virginia,13,6.5
54009,Brooke County,West Virginia,8.9,6.5
55095,Polk County,Wisconsin,8.2,6.5
54069,Ohio County,West Virginia,7.9,6.5
55135,Waupaca County,Wisconsin,7.1,6.5
54095,Tyler County,West Virginia,8.4,6.5
55031,Douglas County,Wisconsin,7.2,6.5
42069,Lackawanna County,Pennsylvania,9.2,6.5
39011,Auglaize County,Ohio,8.9,6.5
36099,Seneca County,New York,11.1,6.5
26107,Mecosta County,Michigan,5.3,6.5
26137,Otsego County,Michigan,7.2,6.5
42081,Lycoming County,Pennsylvania,7.8,6.5
31155,Saunders County,Nebraska,7.7,6.5
06079,San Luis Obispo County,California,6.1,6.5
36009,Cattaraugus County,New York,12.1,6.5
21173,Montgomery County,Kentucky,10.8,6.5
27143,Sibley County,Minnesota,10.6,6.5
19155,Pottawattamie County,Iowa,9.1,6.5
27125,Red Lake County,Minnesota,13.3,6.5
26105,Mason County,Michigan,6.8,6.5
19083,Hardin County,Iowa,7.8,6.5
26087,Lapeer County,Michigan,7.5,6.5
21111,Jefferson County,Kentucky,9,6.5
24015,Cecil County,Maryland,7.9,6.5
21155,Marion County,Kentucky,11.6,6.5
17185,Wabash County,Illinois,8.9,6.5
17035,Cumberland County,Illinois,8.4,6.5
17183,Vermilion County,Illinois,8.5,6.5
21097,Harrison County,Kentucky,6.6,6.5
17019,Champaign County,Illinois,8.4,6.5
17033,Crawford County,Illinois,5.3,6.5
21091,Hancock County,Kentucky,8,6.5
17061,Greene County,Illinois,12.1,6.5
20091,Johnson County,Kansas,5.7,6.5
39069,Henry County,Ohio,10,6.6
22125,West Feliciana Parish,Louisiana,9.1,6.6
42083,Mckean County,Pennsylvania,10.7,6.6
31071,Garfield County,Nebraska,5.2,6.6
26025,Calhoun County,Michigan,10.9,6.6
31125,Nance County,Nebraska,6.5,6.6
33009,Grafton County,New Hampshire,7.4,6.6
27011,Big Stone County,Minnesota,4,6.6
27043,Faribault County,Minnesota,5.2,6.6
27119,Polk County,Minnesota,9.4,6.6
39057,Greene County,Ohio,8.1,6.6
06113,Yolo County,California,8.4,6.6
23023,Sagadahoc County,Maine,6.3,6.6
26163,Wayne County,Michigan,10.5,6.6
27005,Becker County,Minnesota,5.2,6.6
21161,Mason County,Kentucky,9.2,6.6
26063,Huron County,Michigan,7.3,6.6
17177,Stephenson County,Illinois,11,6.6
18059,Hancock County,Indiana,11.1,6.6
21129,Lee County,Kentucky,14.2,6.6
17109,Mcdonough County,Illinois,6.4,6.6
17197,Will County,Illinois,7.9,6.6
19131,Mitchell County,Iowa,7.9,6.6
17025,Clay County,Illinois,10.8,6.6
19167,Sioux County,Iowa,7,6.6
17087,Johnson County,Illinois,10.6,6.6
53035,Kitsap County,Washington,8,6.7
42051,Fayette County,Pennsylvania,12.2,6.7
39175,Wyandot County,Ohio,10.8,6.7
39085,Lake County,Ohio,8.6,6.7
54053,Mason County,West Virginia,11.5,6.7
55073,Marathon County,Wisconsin,5.7,6.7
33011,Hillsborough County,New Hampshire,8.3,6.7
24039,Somerset County,Maryland,12.6,6.7
41053,Polk County,Oregon,10.1,6.7
27065,Kanabec County,Minnesota,7.9,6.7
34033,Salem County,New Jersey,No Data,6.7
27035,Crow Wing County,Minnesota,6.2,6.7
21225,Union County,Kentucky,10.6,6.7
39089,Licking County,Ohio,11.3,6.7
06105,Trinity County,California,5.5,6.7
21235,Whitley County,Kentucky,14.7,6.7
21159,Martin County,Kentucky,12.8,6.7
26019,Benzie County,Michigan,10.4,6.7
